Datum,DAX
31.12.1987,1000
04.01.1988,943
05.01.1988,1004
06.01.1988,1020
07.01.1988,1009
08.01.1988,1025
11.01.1988,989
12.01.1988,989
13.01.1988,964
14.01.1988,965
15.01.1988,958
18.01.1988,997
19.01.1988,982
20.01.1988,956
21.01.1988,958
22.01.1988,971
25.01.1988,967
26.01.1988,964
27.01.1988,951
28.01.1988,931
29.01.1988,935
01.02.1988,958
02.02.1988,953
03.02.1988,981
04.02.1988,984
05.02.1988,980
08.02.1988,984
09.02.1988,988
10.02.1988,996
11.02.1988,1029
12.02.1988,1032
15.02.1988,1042
16.02.1988,1062
17.02.1988,1054
18.02.1988,1045
19.02.1988,1050
22.02.1988,1066
23.02.1988,1070
24.02.1988,1074
25.02.1988,1096
26.02.1988,1077
29.02.1988,1079
01.03.1988,1085
02.03.1988,1080
03.03.1988,1084
04.03.1988,1076
07.03.1988,1081
08.03.1988,1072
09.03.1988,1076
10.03.1988,1085
11.03.1988,1074
14.03.1988,1073
15.03.1988,1088
16.03.1988,1101
17.03.1988,1107
18.03.1988,1122
21.03.1988,1112
22.03.1988,1106
23.03.1988,1104
24.03.1988,1090
25.03.1988,1061
28.03.1988,1044
29.03.1988,1066
30.03.1988,1065
31.03.1988,1063
05.04.1988,1061
06.04.1988,1075
07.04.1988,1084
08.04.1988,1076
11.04.1988,1097
12.04.1988,1093
13.04.1988,1094
14.04.1988,1097
15.04.1988,1073
18.04.1988,1073
19.04.1988,1083
20.04.1988,1071
21.04.1988,1066
22.04.1988,1069
25.04.1988,1062
26.04.1988,1055
27.04.1988,1062
28.04.1988,1053
29.04.1988,1054
02.05.1988,1051
03.05.1988,1038
04.05.1988,1051
05.05.1988,1037
06.05.1988,1037
09.05.1988,1019
10.05.1988,1009
11.05.1988,1002
13.05.1988,1017
16.05.1988,1053
17.05.1988,1048
18.05.1988,1037
19.05.1988,1032
20.05.1988,1033
24.05.1988,1030
25.05.1988,1045
26.05.1988,1045
27.05.1988,1055
30.05.1988,1070
31.05.1988,1083
01.06.1988,1096
03.06.1988,1102
06.06.1988,1111
07.06.1988,1096
08.06.1988,1105
09.06.1988,1125
10.06.1988,1119
13.06.1988,1120
14.06.1988,1117
15.06.1988,1135
16.06.1988,1118
20.06.1988,1108
21.06.1988,1125
22.06.1988,1141
23.06.1988,1137
24.06.1988,1143
27.06.1988,1129
28.06.1988,1120
29.06.1988,1133
30.06.1988,1140
01.07.1988,1163
04.07.1988,1168
05.07.1988,1178
06.07.1988,1199
07.07.1988,1188
08.07.1988,1197
11.07.1988,1196
12.07.1988,1184
13.07.1988,1172
14.07.1988,1187
15.07.1988,1191
18.07.1988,1179
19.07.1988,1170
20.07.1988,1174
21.07.1988,1165
22.07.1988,1153
25.07.1988,1160
26.07.1988,1176
27.07.1988,1171
28.07.1988,1166
29.07.1988,1181
01.08.1988,1189
02.08.1988,1184
03.08.1988,1187
04.08.1988,1183
05.08.1988,1197
08.08.1988,1198
09.08.1988,1196
10.08.1988,1173
11.08.1988,1168
12.08.1988,1173
15.08.1988,1169
16.08.1988,1158
