Datum;P;RI
1871/01;4,44;0,014201894
1871/02;4,5;0,014463115
1871/03;4,61;0,014886295
1871/04;4,74;0,015376047
1871/05;4,86;0,015835598
1871/06;4,82;0,015775862
1871/07;4,73;0,015552207
1871/08;4,79;0,015820726
1871/09;4,84;0,016057431
1871/10;4,59;0,015299901
1871/11;4,64;0,015538788
1871/12;4,74;0,015946235
1872/01;4,86;0,016423753
1872/02;4,88;0,016566447
1872/03;5,04;0,017185991
1872/04;5,18;0,017741041
1872/05;5,18;0,017820014
1872/06;5,13;0,017728276
1872/07;5,1;0,017706188
1872/08;5,04;0,017580827
1872/09;4,95;0,017351183
1872/10;4,97;0,017506964
1872/11;4,95;0,017523608
1872/12;5,07;0,018036926
1873/01;5,11;0,01826891
1873/02;5,15;0,018502783
1873/03;5,11;0,018451137
1873/04;5,04;0,01829166
1873/05;5,05;0,018422466
1873/06;4,98;0,018262865
1873/07;4,97;0,018323222
1873/08;4,97;0,018421536
1873/09;4,59;0,017112662
1873/10;4,19;0,015722335
1873/11;4,04;0,015261891
1873/12;4,42;0,016801302
1874/01;4,66;0,017818123
1874/02;4,8;0,018458581
1874/03;4,73;0,018295146
1874/04;4,6;0,017898687
1874/05;4,48;0,017538768
1874/06;4,46;0,017568129
1874/07;4,46;0,017676453
1874/08;4,47;0,017825078
1874/09;4,54;0,01821388
1874/10;4,53;0,018284088
1874/11;4,57;0,018556533
1874/12;4,54;0,018546381
1875/01;4,54;0,018657871
1875/02;4,53;0,018728077
1875/03;4,59;0,019087239
1875/04;4,65;0,019447637
1875/05;4,47;0,018805482
1875/06;4,38;0,018537283
1875/07;4,39;0,01868982
1875/08;4,41;0,018884949
1875/09;4,37;0,018823391
1875/10;4,3;0,018631352
1875/11;4,37;0,019043878
1875/12;4,37;0,019152825
1876/01;4,46;0,019656846
1876/02;4,52;0,020031472
1876/03;4,51;0,020097949
1876/04;4,34;0,019451784
1876/05;4,18;0,018846717
1876/06;4,15;0,018824173
1876/07;4,1;0,018710774
1876/08;3,93;0,018049052
1876/09;3,69;0,017061635
1876/10;3,67;0,017084754
1876/11;3,6;0,016875268
1876/12;3,58;0,016898706
1877/01;3,55;0,016871486
1877/02;3,34;0,01598502
1877/03;3,17;0,015280092
1877/04;2,94;0,014277205
1877/05;2,94;0,014380075
1877/06;2,73;0,013452789
1877/07;2,85;0,014140951
1877/08;3,05;0,015227033
1877/09;3,24;0,016266091
1877/10;3,31;0,016704665
1877/11;3,26;0,016536104
1877/12;3,25;0,016565693
1878/01;3,25;0,016646058
1878/02;3,18;0,016367898
1878/03;3,24;0,016757151
1878/04;3,33;0,017303094
1878/05;3,34;0,017435509
1878/06;3,41;0,017881402
1878/07;3,48;0,018328961
1878/08;3,45;0,018251406
1878/09;3,52;0,01870218
1878/10;3,48;0,018570105
1878/11;3,47;0,018597142
1878/12;3,45;0,018570345
1879/01;3,58;0,0193516
1879/02;3,71;0,02013688
1879/03;3,65;0,019894894
1879/04;3,77;0,020633776
1879/05;3,94;0,021650094
1879/06;3,96;0,021846996
1879/07;4,04;0,022376483
1879/08;4,07;0,022631864
1879/09;4,22;0,023556323
1879/10;4,68;0,026215573
1879/11;4,93;0,027708545
1879/12;4,92;0,027746014
1880/01;5,11;0,028913847
1880/02;5,2;0,029522113
1880/03;5,3;0,030191564
1880/04;5,18;0,029612418
1880/05;4,77;0,027375766
1880/06;4,79;0,027600549
1880/07;5,01;0,028981057
1880/08;5,19;0,030137985
1880/09;5,18;0,030198474
1880/10;5,33;0,031194402
1880/11;5,61;0,0329575
1880/12;5,84;0,034435986
1881/01;6,19;0,036630003
1881/02;6,17;0,036644797
1881/03;6,24;0,037196646
1881/04;6,22;0,037216516
1881/05;6,5;0,039033963
1881/06;6,58;0,039659507
1881/07;6,35;0,038421403
1881/08;6,2;0,037665076
1881/09;6,25;0,038123233
1881/10;6,15;0,037670838
1881/11;6,19;0,038076641
1881/12;6,01;0,03713344
1882/01;5,92;0,036742128
1882/02;5,79;0,036100796
1882/03;5,78;0,036204713
1882/04;5,78;0,036371747
1882/05;5,71;0,036099064
1882/06;5,68;0,03607799
1882/07;6;0,038279933
1882/08;6,18;0,039598464
1882/09;6,24;0,040153783
1882/10;6,07;0,039231447
1882/11;5,81;0,037723374
1882/12;5,84;0,038091301
1883/01;5,81;0,038069994
1883/02;5,68;0,037393831
1883/03;5,75;0,0380316
1883/04;5,87;0,039003501
1883/05;5,77;0,038518559
1883/06;5,82;0,039033141
1883/07;5,73;0,038611624
1883/08;5,47;0,037043069
1883/09;5,53;0,037634211
1883/10;5,38;0,036799578
1883/11;5,46;0,03753443
1883/12;5,34;0,036898544
1884/01;5,18;0,035982012
1884/02;5,32;0,037143612
1884/03;5,3;0,037193067
1884/04;5,06;0,035697918
1884/05;4,65;0,032994529
1884/06;4,46;0,031835582
1884/07;4,46;0,032024918
1884/08;4,74;0,034224955
1884/09;4,59;0,033331424
1884/10;4,44;0,032431754
1884/11;4,35;0,031964087
1884/12;4,34;0,032080431
1885/01;4,24;0,031528633
1885/02;4,37;0,032680159
1885/03;4,38;0,032937226
1885/04;4,37;0,03304169
1885/05;4,32;0,032840567
1885/06;4,3;0,032862739
1885/07;4,46;0,034256985
1885/08;4,71;0,036345752
1885/09;4,65;0,036048337
1885/10;4,92;0,038304072
1885/11;5,24;0,040954864
1885/12;5,2;0,040798548
1886/01;5,2;0,040954354
1886/02;5,3;0,041897288
1886/03;5,19;0,041182531
1886/04;5,12;0,040781352
1886/05;5,02;0,040138634
1886/06;5,25;0,042130907
1886/07;5,33;0,042925576
1886/08;5,37;0,043399865
1886/09;5,51;0,044682868
1886/10;5,65;0,045969089
1886/11;5,79;0,047258461
1886/12;5,64;0,046183786
1887/01;5,58;0,0458443
1887/02;5,54;0,045669714
