Datum;P
31.12.1987;1000
04.01.1988;943,88
05.01.1988;1004,34
06.01.1988;1020,16
07.01.1988;1009,01
08.01.1988;1025,28
11.01.1988;989,57
12.01.1988;989,49
13.01.1988;964,61
14.01.1988;965,64
15.01.1988;958,15
18.01.1988;997,96
19.01.1988;982,38
20.01.1988;956,78
21.01.1988;958,71
22.01.1988;971,39
25.01.1988;967,08
26.01.1988;964,14
27.01.1988;951,79
28.01.1988;931,18
29.01.1988;935,57
01.02.1988;958,69
02.02.1988;953,55
03.02.1988;981,56
04.02.1988;984,89
05.02.1988;980,46
08.02.1988;984,42
09.02.1988;988,12
10.02.1988;996,39
11.02.1988;1029,4
12.02.1988;1032,98
15.02.1988;1042,85
16.02.1988;1062,17
17.02.1988;1054,51
18.02.1988;1045,28
19.02.1988;1050,85
22.02.1988;1066,04
23.02.1988;1070,4
24.02.1988;1074,83
25.02.1988;1096,05
26.02.1988;1077,69
29.02.1988;1079,55
01.03.1988;1085,48
02.03.1988;1080,75
03.03.1988;1084,54
04.03.1988;1076,96
07.03.1988;1081,44
08.03.1988;1072,78
09.03.1988;1076,61
10.03.1988;1085,64
11.03.1988;1074,64
14.03.1988;1073,04
15.03.1988;1088,02
16.03.1988;1101,55
17.03.1988;1107,49
18.03.1988;1122,07
21.03.1988;1112,47
22.03.1988;1106,96
23.03.1988;1104,09
24.03.1988;1090,56
25.03.1988;1061,55
28.03.1988;1044,28
29.03.1988;1066,31
30.03.1988;1065,36
31.03.1988;1063,17
05.04.1988;1061,2
06.04.1988;1075,6
07.04.1988;1084,73
08.04.1988;1076,42
11.04.1988;1097,01
12.04.1988;1093,63
13.04.1988;1094,35
14.04.1988;1097,94
15.04.1988;1073,04
18.04.1988;1073,91
19.04.1988;1083,14
20.04.1988;1071,21
21.04.1988;1066,2
22.04.1988;1069,03
25.04.1988;1062,95
26.04.1988;1055,1
27.04.1988;1062,45
28.04.1988;1053,54
29.04.1988;1054,46
02.05.1988;1051,13
03.05.1988;1038,59
04.05.1988;1051,82
05.05.1988;1037,62
06.05.1988;1037,47
09.05.1988;1019,36
10.05.1988;1009,03
11.05.1988;1002,41
13.05.1988;1017,84
16.05.1988;1053,86
17.05.1988;1048,39
18.05.1988;1037,67
19.05.1988;1032,24
20.05.1988;1033,67
24.05.1988;1030,91
25.05.1988;1045,63
26.05.1988;1045,01
27.05.1988;1055,57
30.05.1988;1070
31.05.1988;1083,36
01.06.1988;1096,47
03.06.1988;1102,25
06.06.1988;1111,23
07.06.1988;1096,01
08.06.1988;1105,96
09.06.1988;1125,7
10.06.1988;1119,15
13.06.1988;1120,71
14.06.1988;1117,19
15.06.1988;1135,82
16.06.1988;1118,85
20.06.1988;1108,92
21.06.1988;1125,06
22.06.1988;1141,33
23.06.1988;1137,74
24.06.1988;1143,5
27.06.1988;1129,15
28.06.1988;1120,09
29.06.1988;1133,84
30.06.1988;1140,49
01.07.1988;1163,52
04.07.1988;1168,15
05.07.1988;1178,52
06.07.1988;1199,96
07.07.1988;1188,59
08.07.1988;1197,52
11.07.1988;1196,59
12.07.1988;1184,85
13.07.1988;1172,8
14.07.1988;1187,21
15.07.1988;1191,13
18.07.1988;1179,74
19.07.1988;1170,1
20.07.1988;1174,62
21.07.1988;1165,42
22.07.1988;1153,77
25.07.1988;1160,46
26.07.1988;1176,44
27.07.1988;1171,28
28.07.1988;1166
29.07.1988;1181,72
01.08.1988;1189,6
02.08.1988;1184,21
03.08.1988;1187,67
04.08.1988;1183,72
05.08.1988;1197,38
08.08.1988;1198,76
09.08.1988;1196,79
10.08.1988;1173,45
11.08.1988;1168,14
12.08.1988;1173,56
15.08.1988;1169,82
16.08.1988;1158,76
17.08.1988;1182,18
18.08.1988;1173,93
19.08.1988;1170,78
22.08.1988;1167,99
23.08.1988;1155,97
24.08.1988;1161,27
25.08.1988;1162,65
26.08.1988;1157,65
29.08.1988;1152,38
30.08.1988;1165,53
31.08.1988;1165,36
01.09.1988;1152,99
02.09.1988;1157,29
05.09.1988;1174,87
06.09.1988;1179,76
07.09.1988;1185,74
08.09.1988;1185,35
09.09.1988;1186,61
12.09.1988;1207,18
13.09.1988;1206,72
14.09.1988;1224,71
15.09.1988;1228,11
16.09.1988;1235,05
19.09.1988;1252,66
20.09.1988;1245,98
21.09.1988;1260,99
22.09.1988;1253,68
23.09.1988;1252,58
26.09.1988;1257,03
27.09.1988;1248,36
28.09.1988;1239,16
29.09.1988;1248,71
30.09.1988;1252,69
03.10.1988;1242,44
04.10.1988;1245,58
05.10.1988;1252,31
06.10.1988;1261,63
07.10.1988;1269,36
10.10.1988;1286,93
11.10.1988;1271,31
12.10.1988;1257,94
13.10.1988;1269,8
14.10.1988;1289,59
17.10.1988;1282,99
18.10.1988;1295,79
19.10.1988;1304,37
20.10.1988;1295,21
21.10.1988;1289,72
24.10.1988;1281,22
25.10.1988;1293,72
26.10.1988;1310,63
27.10.1988;1313,35
28.10.1988;1314,98
31.10.1988;1300,79
01.11.1988;1310,79
02.11.1988;1288,55
03.11.1988;1280,58
04.11.1988;1285,02
07.11.1988;1271,13
08.11.1988;1287,88
09.11.1988;1277,3
10.11.1988;1263,34
11.11.1988;1252,18
14.11.1988;1261,84
15.11.1988;1262,54
17.11.1988;1264,59
18.11.1988;1277,55
21.11.1988;1284,16
22.11.1988;1277,4
