Name;ADIDAS (XET);AIRBUS (XET);ALLIANZ (XET);BASF (XET);BAYER (XET);BEIERSDORF (XET);BMW (XET);BRENNTAG (XET);COMMERZBANK (XET);CONTINENTAL (XET);COVESTRO (XET);DAIMLER TRUCK (XET) HOLDING E;DEUTSCHE BANK (XET);DEUTSCHE BOERSE (XET);DEUTSCHE POST (XET);DEUTSCHE TELEKOM (XET);DR ING HC F PORSCHE(XET) PREF.;E ON N (XET);FRESENIUS (XET);HANNOVER RUECK (XET);HEIDELBERG (XET) MATERIALS;HENKEL PREF. (XET);INFINEON TECHS. (XET);MERCEDES-BENZ GROUP(XET) N;MERCK KGAA (XET);MTU AERO ENGINES (XET) HLDG.;MUENCHENER RUCK. (XET);PORSCHE AML.HLDG. (XET) PREF.;QIAGEN (XET);RHEINMETALL (XET);RWE (XET);SAP (XET);SARTORIUS PREF. (XET);SIEMENS (XET);SIEMENS ENERGY N (XET);SIEMENS (XET) HEALTHINEERS;SYMRISE (XET);VOLKSWAGEN PREF. (XET);VONOVIA (XET);ZALANDO (XET)
16.10.2023;170,4;122,92;224,25;42,52;43,595;121,25;98,64;71,5;10,545;63,68;47,6;31,2;10,132;160,3;39,015;20,36;90,34;11;25,19;206,2;74,16;67,32;31,915;64,7;149,35;167,95;377;46,85;36,9;269,6;34;122,66;269,8;133,9;11,66;47,67;92,54;108,62;22,46;22,65
17.10.2023;170,96;127,28;224,55;42,455;43,2;121,7;98,26;69,08;10,47;64,18;47,86;31;10,072;158,05;38,715;20,345;91,34;10,995;25,27;207,2;74,2;67,08;31,63;64,87;148,4;168,2;377,3;46,65;36,88;268;33,84;123,32;263,4;133,96;11,61;47,88;92,08;108,52;22,46;22,45
18.10.2023;176,36;124,66;223,3;41,84;42,525;121,55;97,91;69;10,36;63,82;46,83;31,02;9,808;157,2;38,435;20,47;91,56;10,98;24,79;209,5;71,98;67,08;31,12;64,18;145,55;166,45;378,1;46,38;36,45;267,1;33,66;121,14;254,2;130,4;11,43;47,32;91,64;107,62;21,6;22,66
19.10.2023;174,32;123,84;221,25;41,43;42,145;121,05;95,31;67,96;10,255;60,98;47,62;30,36;9,749;157,65;37,845;20,35;91,3;10,91;24,9;210,8;70,84;67,12;30,065;63,45;150,05;167,05;377,7;45,81;35,49;258,3;34,24;127,28;257,5;129,86;11,245;46,03;91,4;105,3;20,51;22,12
20.10.2023;170;121,28;217,4;40,995;41,475;121,65;93,56;68;10,115;60,48;47,89;29,99;9,528;157,7;37,4;20,205;89,12;10,9;25,22;204,9;66,02;66,72;29,4;62,01;148,8;164,7;369,4;44,6;35,54;259,9;34,13;123,92;240;127,12;10,87;46;91,16;103,14;20,44;21,93
23.10.2023;169;122,56;217,8;40,92;40,985;121,9;93,31;68,12;10,215;60,6;49,1;29,92;9,614;156,95;37,77;20,185;88,02;10,925;25,3;205,1;67,5;66,94;29,08;61,7;144,85;166,3;372,1;43,78;35,47;258,9;33,99;123,92;234,2;127,7;10,685;46,97;90,98;102,24;20,16;22,45
24.10.2023;172,02;125,24;218,15;40,95;41,285;122,1;92,51;68,4;10,05;60,22;49,51;29,84;9,501;155,35;37,515;20,215;86,9;11,095;25,18;206,9;67,46;67,1;29,07;61,53;146,7;176,45;374,6;43,34;35,25;267;35,07;125,76;234,9;127,44;10,835;47,63;90,52;101,78;20,58;23,15
25.10.2023;171,5;125,12;220,15;40,585;41,035;124,35;91,38;68,22;10,065;59,68;48,75;29,96;10,278;155,8;36,78;20,485;86,52;11,1;24,98;211,4;67,84;67,98;28,765;61,38;144,6;178,4;382,5;43,19;35,07;266,7;35,31;125;224,5;126,96;10,65;47,83;94,12;100,8;20,22;21,8
26.10.2023;166,46;126,42;219,55;41,185;40,76;121,45;88,63;68,56;9,994;59,2;48,66;29,88;10,38;156,1;36,365;20,385;83,52;11,11;24,67;209,1;67,5;67,92;29,375;57,84;144,45;179,9;378,1;42,7;34,97;271;35,46;124,78;221,8;121,2;6,87;46,11;95,22;99,97;20,52;21,32
27.10.2023;166,3;124,94;218,6;41,46;40,51;121,45;88,49;69,04;10,04;60,26;47;29,74;10,406;155,1;36,52;20,385;82,12;11,11;24,45;206,2;67,7;67,26;29,13;56,21;143;174,95;375,5;42,26;34,4;266,1;35,56;125,02;230,3;122,42;7,488;45,86;94,94;99,29;20,73;21,27
